x,y
0.000000,3.200000
0.777350,3.242700
1.545400,3.370200
2.294800,3.581100
3.016600,3.872700
3.702200,4.241600
4.343200,4.683400
4.932100,5.192700
5.461600,5.763400
5.925500,6.388600
6.318100,7.060900
6.634700,7.772100
6.871600,8.513700
7.025900,9.276800
7.095700,10.052000
7.100000,11.422000
7.100000,12.505000
7.100000,13.587000
7.100000,14.669000
7.100000,15.752000
7.100000,16.834000
7.100000,17.916000
7.100000,18.998000
7.100000,20.081000
7.100000,21.163000
7.100000,22.245000
7.100000,23.328000
7.100000,24.410000
7.100000,25.492000
7.100000,26.574000
7.100000,27.657000
7.100000,28.739000
7.100000,29.821000
7.100000,30.903000
7.100000,31.986000
7.100000,33.068000
7.100000,34.150000
7.100000,35.233000
7.100000,36.315000
7.100000,37.397000
7.100000,38.479000
7.100000,39.562000
7.100000,40.644000
7.100000,41.726000
7.100000,42.808000
7.100000,43.891000
7.100000,44.973000
7.100000,46.055000
7.100000,47.138000
7.100000,48.220000
7.100000,49.302000
7.100000,50.384000
7.100000,51.467000
7.100000,52.549000
7.100000,53.631000
7.100000,54.713000
7.100000,55.796000
7.100000,56.878000
7.100000,57.960000
7.100000,59.043000
7.100000,60.043000
7.339700,60.823000
7.579500,61.604000
7.819200,62.384000
8.058900,63.165000
8.298700,63.945000
8.538400,64.726000
8.778200,65.506000
9.017900,66.287000
9.257600,67.067000
9.497400,67.848000
9.737100,68.628000
9.976800,69.409000
10.217000,70.189000
10.456000,70.970000
10.696000,71.750000
10.936000,72.531000
11.176000,73.311000
11.415000,74.092000
11.655000,74.873000
11.655000,75.623000
11.655000,76.373000
11.655000,77.123000
11.655000,77.873000
12.685000,77.873000
13.715000,77.873000
14.745000,77.873000
14.745000,77.123000
14.745000,76.373000
14.745000,75.623000
14.745000,74.873000
14.570000,74.092000
14.395000,73.311000
14.220000,72.531000
14.046000,71.750000
13.871000,70.970000
13.696000,70.189000
13.521000,69.409000
13.346000,68.628000
13.171000,67.848000
12.996000,67.067000
12.821000,66.287000
12.647000,65.506000
12.472000,64.726000
12.297000,63.945000
12.122000,63.165000
11.947000,62.384000
11.772000,61.604000
11.597000,60.823000
11.422000,60.043000
11.422000,59.043000
11.422000,57.960000
11.422000,56.878000
11.422000,55.796000
11.422000,54.713000
11.422000,53.631000
11.422000,52.549000
11.422000,51.467000
11.422000,50.384000
11.422000,49.302000
11.422000,48.220000
11.422000,47.138000
11.422000,46.055000
11.422000,44.973000
11.422000,43.891000
11.422000,42.808000
11.422000,41.726000
11.422000,40.644000
11.422000,39.562000
11.422000,38.479000
11.422000,37.397000
11.422000,36.315000
11.422000,35.233000
11.422000,34.150000
11.422000,33.068000
11.422000,31.986000
11.422000,30.903000
11.422000,29.821000
11.422000,28.739000
11.422000,27.657000
11.422000,26.574000
11.422000,25.492000
11.422000,24.410000
11.422000,23.328000
11.422000,22.245000
11.422000,21.163000
11.422000,20.081000
11.422000,18.998000
11.422000,17.916000
11.422000,16.834000
11.422000,15.752000
11.422000,14.669000
11.422000,13.587000
11.422000,12.505000
11.422000,11.422000
11.379000,10.427000
11.210000,9.229000
10.915000,8.055700
10.498000,6.920100
9.962600,5.835000
9.315700,4.812600
8.564400,3.864400
7.716900,3.000900
6.782900,2.232000
5.772800,1.566100
4.697900,1.010800
3.570400,0.572330
2.402700,0.255570
1.208100,0.064071
-0.000000,-0.000000
0.000000,1.600000
1.386707,1.949066
4.139406,2.607510
6.476890,4.290419
8.207002,6.646100
8.955128,9.493832
9.125907,59.847254
9.834803,62.192667
10.674766,65.351201
11.515699,68.509406
12.358775,71.666408
12.781475,73.246765
13.200000,75.248000
12.716117,76.748000
3.043863,2.766077
4.610841,3.609177
6.559294,5.433616
7.840774,7.795464
7.968310,9.582687
10.207457,60.725125
8.532650,60.884028
10.898023,62.209716
9.246795,63.226660
9.743495,65.637021
10.810442,63.868891
11.669751,65.315623
10.584529,67.940748
12.139681,67.668983
12.386504,69.253102
11.063216,69.501424
13.765214,76.748000
9.768752,10.995018
8.382188,8.654991
11.147719,64.647126
10.561929,66.643614
10.660467,10.956481
8.564232,10.676773
10.263761,12.113087
10.165872,9.847997
9.261000,14.128000
9.261000,18.457000
9.261000,21.704000
9.261000,24.951000
9.261000,28.198000
9.261000,31.444500
9.261000,35.774000
9.261000,40.103000
9.261000,43.349500
9.261000,46.596500
9.261000,49.843000
9.261000,53.090000
9.261000,56.337000
8.074100,59.543000
9.943429,58.501500
3.449289,1.703324
5.322982,2.662234
5.804879,4.913427
5.541731,3.955644
6.333600,3.217162
7.663912,4.779424
10.376867,61.549229
10.353397,63.012867
